Crewed or Uncrewed,Launched?,High Temp,Low Temp,Ave Temp,Hist High Temp,Hist Low Temp,Hist Ave Temp,Percipitation at Launch Time,Hist Ave Percipitation,Wind Direction,Max Wind Speed,Visibility,Condition,target
Uncrewed,N,73.0,62.0,67.21,77.0,56.0,66.0,0.0,0.12,E,16.0,15.0,Partly Cloudy,0
Uncrewed,Y,71.0,0.0,51.24,77.0,56.0,67.0,0.03,0.11,NE,23.0,15.0,Cloudy,1
Uncrewed,N,86.0,0.0,69.29,77.0,56.0,67.0,0.0,0.1,E,17.0,15.0,Partly Cloudy,0
Uncrewed,N,79.0,56.0,65.04,78.0,56.0,67.0,0.0,0.11,E,17.0,10.0,Fair,0
Uncrewed,N,85.0,78.0,80.54,87.0,70.0,79.0,0.14,0.15,SE,16.0,10.0,Rain,0
Uncrewed,N,83.0,0.0,73.77,88.0,70.0,79.0,0.0,0.16,SE,16.0,10.0,Fair,0
Uncrewed,Y,85.0,66.0,77.83,88.0,70.0,79.0,0.0,0.16,E,17.0,10.0,Partly Cloudy,1
Uncrewed,N,86.0,71.0,79.5,88.0,70.0,79.0,0.0,0.16,S,20.0,20.0,Partly Cloudy,0
Uncrewed,N,88.0,75.0,81.5,88.0,70.0,79.0,0.24,0.19,SE,17.0,20.0,T-Storm,0
Uncrewed,N,85.0,0.0,74.58,88.0,73.0,81.0,0.0,0.27,E,17.0,10.0,Cloudy,0
Uncrewed,N,91.0,0.0,64.9,88.0,73.0,81.0,0.0,0.27,E,23.0,7.0,Partly Cloudy,0
Uncrewed,Y,86.0,76.0,81.75,88.0,73.0,80.0,0.0,0.26,E,17.0,20.0,Partly Cloudy,1
Uncrewed,N,86.0,74.0,81.0,88.0,73.0,80.0,0.8,0.26,NE,16.0,20.0,Rain,0
Uncrewed,N,85.0,73.0,80.39,88.0,73.0,80.0,0.0,0.25,E,14.0,20.0,Partly Cloudy,0
Uncrewed,N,80.0,0.0,63.64,81.0,60.0,70.0,0.1,0.06,S,23.0,10.0,Cloudy,0
Uncrewed,N,78.0,58.0,69.05,81.0,60.0,70.0,0.04,0.07,W,21.0,10.0,T-Storm,0
Uncrewed,Y,76.0,61.0,67.75,81.0,60.0,71.0,0.0,0.06,NW,23.0,10.0,Fair,1
Uncrewed,N,81.0,0.0,62.32,81.0,60.0,71.0,0.0,0.07,W,24.0,10.0,Cloudy,0
Uncrewed,N,76.0,55.0,66.33,81.0,61.0,71.0,0.0,0.06,W,21.0,10.0,Fair,0
Uncrewed,N,94.0,0.0,76.0,91.0,73.0,82.0,0.1,0.19,S,17.0,10.0,Rain,0
Uncrewed,N,93.0,0.0,67.69,91.0,73.0,82.0,0.4,0.18,W,23.0,7.0,T-Storm,0
Uncrewed,Y,96.0,0.0,59.53,91.0,73.0,82.0,0.1,0.17,W,17.0,7.0,Rain,1
Uncrewed,N,88.0,0.0,69.81,91.0,73.0,82.0,0.5,0.18,SW,15.0,7.0,Thunder,0
Uncrewed,N,88.0,0.0,62.39,91.0,73.0,82.0,0.0,0.17,SW,21.0,15.0,Cloudy,0
Uncrewed,N,87.0,0.0,75.78,89.0,73.0,81.0,0.0,0.24,NE,17.0,15.0,Cloudy,0
Uncrewed,N,87.0,75.0,80.22,89.0,73.0,81.0,0.0,0.24,N,14.0,15.0,Partly Cloudy,0
Uncrewed,Y,88.0,75.0,81.17,89.0,73.0,81.0,0.0,0.24,NE,13.0,10.0,Fair,1
Uncrewed,N,89.0,0.0,75.21,89.0,73.0,80.0,0.0,0.24,E,17.0,10.0,Fail,0
Uncrewed,N,87.0,0.0,73.29,89.0,73.0,81.0,0.2,0.24,E,17.0,10.0,Rain,0
