Crewed or Uncrewed,Launched?,High Temp,Low Temp,Ave Temp,Hist High Temp,Hist Low Temp,Hist Ave Temp,Percipitation at Launch Time,Hist Ave Percipitation,Wind Direction,Max Wind Speed,Visibility,Condition,target
Uncrewed,N,81.0,64.0,71.61,85.0,70.0,78.0,0.0,0.18,NE,16.0,15.0,Fair,0
Crewed,Y,80.0,61.0,70.82,85.0,69.0,77.0,0.0,0.18,W,13.0,15.0,Fair,1
Uncrewed,N,79.0,0.0,67.39,85.0,69.0,77.0,0.0,0.18,NW,17.0,15.0,Partly Cloudy,0
Uncrewed,N,78.0,60.0,69.68,85.0,69.0,77.0,0.0,0.16,N,17.0,15.0,Partly Cloudy,0
Uncrewed,N,60.0,36.0,49.13,73.0,52.0,62.0,0.0,0.1,N,15.0,20.0,Fair,0
Uncrewed,N,73.0,53.0,65.04,73.0,52.0,62.0,0.0,0.09,NE,16.0,20.0,Cloudy,0
Crewed,Y,76.0,0.0,62.61,72.0,52.0,62.0,0.0,0.09,N,10.0,20.0,Cloudy,1
Uncrewed,N,76.0,63.0,68.75,72.0,52.0,62.0,0.0,0.09,NE,12.0,20.0,Cloudy,0
Uncrewed,N,76.0,62.0,69.39,72.0,51.0,62.0,0.0,0.08,E,15.0,20.0,Cloudy,0
Uncrewed,N,95.0,0.0,71.96,91.0,73.0,82.0,0.0,0.17,W,32.0,15.0,Partly Cloudy,0
Uncrewed,N,89.0,0.0,72.33,91.0,73.0,82.0,0.0,0.18,E,18.0,20.0,Partly Cloudy,0
Crewed,Y,91.0,0.0,58.3,91.0,73.0,82.0,1.2,0.17,E,29.0,20.0,Rain,1
Uncrewed,N,91.0,0.0,65.36,91.0,73.0,82.0,0.5,0.18,E,17.0,20.0,Thunder,0
Uncrewed,N,90.0,0.0,68.35,91.0,73.0,82.0,0.0,0.17,S,17.0,20.0,Cloudy,0
Uncrewed,N,78.0,58.0,69.79,79.0,60.0,70.0,0.0,0.1,E,13.0,20.0,Cloudy,0
Uncrewed,N,80.0,72.0,75.75,79.0,60.0,70.0,0.0,0.1,E,16.0,20.0,Cloudy,0
Crewed,Y,81.0,73.0,76.45,79.0,60.0,69.0,0.0,0.1,NE,17.0,20.0,Fair,1
Uncrewed,N,83.0,0.0,68.79,79.0,60.0,69.0,0.0,0.09,S,16.0,20.0,Cloudy,0
Uncrewed,N,81.0,0.0,59.39,78.0,59.0,69.0,0.12,0.09,SE,17.0,15.0,Cloudy,0
Uncrewed,N,78.0,0.0,68.65,80.0,59.0,69.0,0.0,0.08,E,21.0,20.0,Cloudy,0
Uncrewed,N,83.0,0.0,72.87,80.0,59.0,69.0,0.0,0.07,E,17.0,20.0,Partly Cloudy,0
Crewed,Y,85.0,0.0,69.04,80.0,59.0,70.0,0.0,0.08,SW,17.0,20.0,Cloudy,1
Uncrewed,N,76.0,59.0,68.19,80.0,59.0,70.0,0.0,0.07,N,18.0,20.0,Fair,0
Uncrewed,N,78.0,0.0,62.85,80.0,59.0,70.0,0.0,0.07,NE,18.0,20.0,Cloudy,0
Uncrewed,N,82.0,64.0,72.04,73.0,51.0,62.0,0.0,0.08,S,14.0,10.0,Cloudy,0
Uncrewed,N,70.0,0.0,59.52,73.0,51.0,62.0,1.2,0.09,E,13.0,10.0,Rain,0
Crewed,Y,71.0,0.0,58.26,73.0,51.0,62.0,0.0,0.08,N,13.0,15.0,Fair,1
Uncrewed,N,76.0,0.0,68.46,73.0,51.0,62.0,0.0,0.09,E,16.0,15.0,Cloudy,0
Uncrewed,N,84.0,0.0,67.73,73.0,51.0,62.0,0.1,0.08,W,17.0,10.0,Cloudy,0
Uncrewed,N,90.0,73.0,82.87,91.0,73.0,82.0,0.0,0.2,E,21.0,10.0,Partly Cloudy,0
Uncrewed,N,93.0,78.0,85.68,91.0,73.0,82.0,0.0,0.2,NE,15.0,7.0,Partly Cloudy,0
Crewed,Y,93.0,0.0,83.05,91.0,73.0,82.0,0.0,0.21,SE,16.0,10.0,Partly Cloudy,1
Uncrewed,N,92.0,83.0,87.45,91.0,73.0,82.0,0.0,0.2,E,17.0,10.0,Partly Cloudy,0
Uncrewed,N,93.0,0.0,82.78,91.0,73.0,82.0,0.0,0.21,E,18.0,15.0,Partly Cloudy,0
Uncrewed,N,87.0,0.0,74.36,81.0,60.0,70.0,0.0,0.07,E,14.0,7.0,Cloudy,0
Uncrewed,N,87.0,0.0,66.71,81.0,60.0,70.0,0.1,81.0,NE,21.0,7.0,Partly Cloudy,0
Crewed,Y,88.0,71.0,77.67,81.0,60.0,70.0,0.0,0.07,E,14.0,10.0,Cloudy,1
Uncrewed,N,89.0,74.0,79.48,81.0,60.0,71.0,0.0,0.06,E,13.0,15.0,Cloudy,0
Uncrewed,N,89.0,0.0,73.32,81.0,60.0,71.0,0.0,0.07,NE,20.0,10.0,Fair,0
Uncrewed,N,71.0,0.0,51.24,77.0,56.0,67.0,0.2,0.11,SE,23.0,15.0,Rain,0
Uncrewed,N,86.0,0.0,69.29,77.0,56.0,67.0,0.0,0.1,W,17.0,15.0,Partly Cloudy,0
Crewed,Y,79.0,56.0,65.04,78.0,56.0,67.0,0.0,0.11,NW,17.0,10.0,Fair,1
Uncrewed,N,85.0,56.0,67.87,78.0,56.0,67.0,0.0,0.11,W,14.0,20.0,Fair,0
Uncrewed,N,75.0,0.0,55.74,78.0,56.0,67.0,0.0,0.11,W,14.0,30.0,Cloudy,0
Uncrewed,N,99.0,72.0,83.77,88.0,70.0,79.0,0.0,0.19,W,15.0,20.0,Partly Cloudy,0
Uncrewed,N,95.0,0.0,77.68,88.0,71.0,79.0,0.0,0.2,W,14.0,10.0,Fair,0
Crewed,Y,97.0,75.0,84.81,88.0,71.0,79.0,0.0,0.19,E,13.0,10.0,Partly Cloudy,1
Uncrewed,N,97.0,76.0,84.76,88.0,71.0,80.0,0.0,0.2,NE,14.0,10.0,Fair,0
Uncrewed,N,88.0,74.0,81.76,88.0,71.0,80.0,0.0,0.2,E,9.0,10.0,Partly Cloudy,0
Uncrewed,N,92.0,0.0,70.85,90.0,73.0,82.0,0.6,0.26,SW,15.0,10.0,Rain,0
Uncrewed,N,92.0,0.0,68.3,90.0,73.0,82.0,0.1,0.24,SE,17.0,10.0,Cloudy,0
Crewed,Y,90.0,0.0,74.52,90.0,73.0,82.0,0.5,0.24,S,23.0,10.0,Cloudy,1
Uncrewed,N,90.0,73.0,90.79,90.0,73.0,82.0,0.0,0.25,S,13.0,10.0,Partly Cloudy,0
Uncrewed,N,90.0,73.0,82.0,90.0,73.0,82.0,0.0,0.24,E,9.0,10.0,Cloudy,0
Uncrewed,N,84.0,62.0,72.5,76.0,56.0,66.0,0.05,0.08,W,15.0,20.0,Rain,0
Uncrewed,N,68.0,51.0,60.74,75.0,56.0,66.0,0.0,0.09,NE,17.0,20.0,Partly Cloudy,0
Crewed,Y,77.0,67.0,71.52,75.0,55.0,65.0,0.0,0.08,E,15.0,10.0,Cloudy,1
Uncrewed,N,73.0,0.0,48.91,75.0,55.0,65.0,1.2,0.09,E,14.0,7.0,T-Storm,0
Uncrewed,N,66.0,0.0,53.52,75.0,55.0,65.0,0.0,0.09,NW,17.0,20.0,Cloudy,0
Uncrewed,N,79.0,0.0,46.55,76.0,55.0,66.0,0.0,0.11,S,29.0,20.0,Cloudy,0
Uncrewed,N,81.0,0.0,56.14,77.0,55.0,66.0,0.0,0.11,S,20.0,20.0,Cloudy,0
Crewed,Y,85.0,0.0,64.81,77.0,55.0,66.0,0.0,0.11,S,16.0,15.0,Cloudy,1
Uncrewed,N,76.0,0.0,65.56,77.0,55.0,66.0,0.0,0.12,NE,14.0,10.0,Partly Cloudy,0
Uncrewed,N,77.0,67.0,71.76,77.0,55.0,66.0,0.0,0.11,SE,18.0,10.0,Fair,0
Uncrewed,N,88.0,75.0,81.5,88.0,70.0,79.0,0.0,0.19,SE,17.0,20.0,Cloudy,0
Uncrewed,N,88.0,75.0,80.96,88.0,71.0,79.0,0.0,0.2,E,16.0,15.0,Partly Cloudy,0
Crewed,Y,87.0,0.0,74.4,88.0,71.0,79.0,0.0,0.19,E,15.0,15.0,Cloudy,1
Uncrewed,N,86.0,79.0,81.79,88.0,71.0,80.0,0.0,0.2,E,17.0,10.0,Partly Cloudy,0
Uncrewed,N,87.0,0.0,78.54,88.0,71.0,80.0,0.1,0.2,NE,17.0,15.0,Rain,0
Uncrewed,N,79.0,72.0,74.91,87.0,69.0,78.0,0.16,0.15,E,18.0,10.0,Light Rain,0
Uncrewed,N,85.0,74.0,78.0,87.0,69.0,78.0,1.68,0.14,SW,17.0,10.0,Cloudy,0
Crewed,N,86.0,70.0,75.02,87.0,70.0,79.0,0.28,0.15,S,32.0,10.0,Heavy T-Storm,0
Uncrewed,N,87.0,71.0,79.36,87.0,70.0,79.0,0.0,0.15,S,20.0,10.0,Thunder,0
Uncrewed,N,86.0,72.0,79.5,88.0,70.0,79.0,0.01,0.16,SE,18.0,10.0,Fair,0
Uncrewed,N,87.0,71.0,79.36,87.0,70.0,79.0,0.0,0.15,S,20.0,10.0,Thunder,0
Uncrewed,N,86.0,72.0,79.5,88.0,70.0,79.0,0.01,0.16,SE,18.0,10.0,Fair,0
Crewed,Y,87.0,75.0,79.69,88.0,70.0,79.0,0.0,0.16,SE,16.0,10.0,Fair,1
Uncrewed,N,87.0,72.0,79.7,88.0,70.0,79.0,0.46,0.16,E,13.0,10.0,Cloudy,0
Uncrewed,N,85.0,76.0,80.31,88.0,70.0,79.0,0.0,0.19,E,16.0,10.0,Cloudy,0
